MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:56:19


[COMMENT]
10_C_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-4,00	-8,00	-17,00	5,00	0,00	-1,00	-3,00	-11,00	14,00	4,00	2,00	-2,00	9,00	-7616,00	-5,00	9,00
-6,00	-6,00	-15,00	7,00	3,00	-1,00	-2,00	-6,00	7,00	9,00	3,00	-13,00	9,00	-7623,00	-7,00	4,00
0,00	-4,00	-7,00	10,00	1,00	0,00	0,00	0,00	9,00	4,00	-5,00	-21,00	10,00	-7634,00	-9,00	7,00
-6,00	-4,00	0,00	16,00	4,00	-1,00	-3,00	-3,00	10,00	-2,00	-11,00	-30,00	9,00	-7640,00	-4,00	13,00
-9,00	2,00	5,00	19,00	3,00	-1,00	-1,00	-5,00	6,00	-4,00	-3,00	-39,00	10,00	-7650,00	-1,00	13,00
0,00	0,00	3,00	19,00	2,00	2,00	0,00	-3,00	7,00	0,00	-7,00	-33,00	4,00	-7659,00	0,00	29,00
-2,00	0,00	0,00	24,00	0,00	-3,00	-4,00	-1,00	8,00	-6,00	-1,00	-25,00	7,00	-7665,00	0,00	43,00
-3,00	3,00	3,00	28,00	0,00	-4,00	-7,00	-2,00	6,00	-7,00	-4,00	18,00	11,00	-7673,00	-9,00	39,00
-1,00	0,00	8,00	22,00	-1,00	-3,00	-4,00	-1,00	4,00	-4,00	-3,00	36,00	10,00	-7681,00	-10,00	19,00
-1,00	0,00	10,00	23,00	4,00	-7,00	0,00	4,00	6,00	-7,00	-8,00	24,00	10,00	-7691,00	-8,00	-25,00
-2,00	-1,00	7,00	19,00	1,00	-7,00	9,00	8,00	12,00	-13,00	-17,00	19,00	5,00	-7698,00	-4,00	-28,00
